geography,age,dt,norm_visits
MD,55_64,09/04/2020,"1,386,084"
SC,55_64,10/08/2020,"1,760,354"
ND,55_64,02/09/2020,"259,373"
ND,55_64,13/07/2020,"211,582"
NC,35_44,31/03/2020,"2,946,184"
MD,18_24,09/04/2020,"1,102,442"
MA,35_44,28/04/2020,"2,127,790"
IA,35_44,12/08/2020,"1,231,527"
OR,65_plus,27/06/2020,"1,380,956"
FL,65_plus,16/06/2020,"8,305,574"
WY,18_24,22/08/2020,"219,251"
WY,18_24,12/05/2020,"136,578"
CO,65_plus,16/08/2020,"1,508,207"
SD,25_34,06/09/2020,"431,350"
IN,45_54,04/08/2020,"2,759,933"
WY,45_54,12/04/2020,"118,059"
WV,35_44,23/02/2020,"614,961"
OK,65_plus,28/04/2020,"1,043,928"
CO,65_plus,03/03/2020,"1,541,634"
CT,25_34,23/06/2020,"1,126,139"
VA,65_plus,29/03/2020,"1,729,439"
NJ,55_64,11/04/2020,"2,067,367"
AR,45_54,08/02/2020,"1,266,944"
FL,18_24,24/02/2020,"6,157,224"
AL,25_34,02/05/2020,"1,881,229"
SC,55_64,14/03/2020,"2,076,520"
LA,55_64,30/08/2020,"1,422,576"
CO,45_54,10/03/2020,"2,207,428"
NE,45_54,01/06/2020,"635,369"
NE,55_64,14/07/2020,"519,092"
HI,25_34,24/03/2020,"694,205"
HI,25_34,11/04/2020,"645,138"
AZ,25_34,07/05/2020,"2,326,664"
ID,55_64,03/06/2020,"478,443"
GA,65_plus,05/03/2020,"3,005,228"
DE,55_64,21/03/2020,"326,823"
LA,55_64,24/05/2020,"1,193,365"
WA,25_34,09/03/2020,"2,664,602"
ME,45_54,20/02/2020,"605,018"
WY,35_44,16/08/2020,"274,117"
CT,18_24,09/08/2020,"1,012,168"
CT,18_24,16/08/2020,"895,430"
MN,65_plus,07/02/2020,"1,677,685"
TN,18_24,20/08/2020,"2,128,956"
CT,65_plus,13/09/2020,"1,169,049"
CO,65_plus,09/09/2020,"1,400,433"
WI,18_24,01/09/2020,"1,773,679"
OK,18_24,18/03/2020,"941,576"
OR,55_64,23/03/2020,"1,028,605"
OR,55_64,01/02/2020,"929,748"
OR,55_64,20/07/2020,"1,352,504"
FL,18_24,23/03/2020,"3,964,448"
MN,18_24,20/06/2020,"1,500,100"
VA,18_24,22/08/2020,"2,901,116"
MT,35_44,10/04/2020,"265,868"
MS,35_44,16/08/2020,"1,032,558"
CO,55_64,21/02/2020,"1,873,618"
CO,55_64,13/06/2020,"1,582,501"
NM,55_64,11/09/2020,"702,866"
WV,35_44,19/02/2020,"634,861"
HI,25_34,25/07/2020,"904,748"
OK,25_34,03/02/2020,"1,551,880"
MD,65_plus,25/03/2020,"1,152,301"
NJ,18_24,14/09/2020,"2,262,170"
RI,45_54,04/03/2020,"474,140"
NM,35_44,21/06/2020,"612,431"
LA,65_plus,04/07/2020,"1,155,354"
SC,35_44,25/03/2020,"1,579,892"
NE,25_34,10/06/2020,"659,943"
NM,65_plus,25/08/2020,"672,798"
MS,18_24,19/08/2020,"1,093,679"
NV,45_54,17/07/2020,"1,437,758"
MS,65_plus,11/05/2020,"1,010,519"
