state,age,dt,norm_visits
ND,55_64,3/6/2020,"166,332"
MD,55_64,3/5/2020,"1,608,056"
KS,45_54,3/10/2020,"1,192,164"
VA,45_54,8/19/2020,"3,304,148"
OH,18_24,2/22/2020,"2,717,648"
OH,18_24,3/17/2020,"1,775,551"
OH,18_24,5/21/2020,"1,937,818"
MT,45_54,2/13/2020,"430,319"
MT,55_64,8/16/2020,"285,828"
MT,55_64,5/21/2020,"272,410"
MT,45_54,3/24/2020,"335,326"
MT,45_54,8/13/2020,"496,556"
MT,25_34,4/23/2020,"275,345"
VA,55_64,2/9/2020,"2,040,799"
OK,55_64,4/14/2020,"704,856"
CO,25_34,2/5/2020,"2,284,952"
CO,45_54,6/3/2020,"1,878,961"
CO,35_44,3/18/2020,"2,316,017"
DE,18_24,6/17/2020,"190,013"
DE,25_34,3/14/2020,"458,298"
MI,45_54,6/10/2020,"3,504,736"
GA,35_44,3/6/2020,"6,669,831"
FL,65_plus,4/5/2020,"2,055,724"
NJ,65_plus,2/26/2020,"1,384,805"
NJ,65_plus,2/27/2020,"1,349,257"
VA,55_64,6/19/2020,"2,178,363"
VA,25_34,5/15/2020,"3,261,672"
VA,18_24,6/26/2020,"1,694,324"
VA,55_64,3/23/2020,"1,709,685"
CO,45_54,4/8/2020,"1,528,406"
IA,35_44,5/24/2020,"1,326,021"
WI,65_plus,6/20/2020,"641,907"
IL,35_44,6/3/2020,"5,813,571"
IL,65_plus,3/24/2020,"1,236,070"
IL,25_34,3/27/2020,"3,905,758"
IL,45_54,5/27/2020,"4,486,255"
SC,35_44,6/9/2020,"2,469,191"
SC,25_34,5/23/2020,"2,388,090"
SC,65_plus,8/11/2020,"834,043"
SC,65_plus,5/28/2020,"917,642"
MO,65_plus,7/25/2020,"720,489"
OR,45_54,2/2/2020,"1,510,356"
OR,45_54,6/22/2020,"1,504,000"
OR,18_24,6/18/2020,"662,228"
OR,18_24,5/16/2020,"574,664"
KY,35_44,2/5/2020,"2,309,680"
KY,55_64,5/27/2020,"1,127,156"
SD,65_plus,5/18/2020,"111,819"
OR,55_64,7/22/2020,"1,079,206"
IL,65_plus,2/24/2020,"1,657,472"
CT,55_64,4/4/2020,"897,551"
MD,18_24,8/7/2020,"1,114,728"
CT,18_24,7/27/2020,"600,274"
CT,18_24,8/6/2020,"683,480"
MN,55_64,7/28/2020,"1,263,963"
NE,45_54,4/10/2020,"682,718"
MO,25_34,6/4/2020,"2,172,953"
MO,25_34,4/13/2020,"1,634,358"
MO,55_64,5/23/2020,"1,591,241"
MO,45_54,4/20/2020,"2,117,383"
VA,65_plus,2/5/2020,"1,250,612"
OK,18_24,2/24/2020,"805,893"
OK,55_64,2/5/2020,"628,946"
DC,65_plus,6/5/2020,"50,138"
DC,55_64,2/21/2020,"214,115"
MD,65_plus,7/27/2020,"791,291"
DC,65_plus,4/15/2020,"36,349"
DC,35_44,4/13/2020,"248,551"
CA,35_44,3/18/2020,"18,351,261"
CA,18_24,5/5/2020,"6,002,734"
ME,65_plus,8/21/2020,"295,143"
ME,25_34,7/24/2020,"499,725"
OH,18_24,4/15/2020,"1,528,024"
IN,18_24,8/12/2020,"1,180,148"
IN,35_44,8/4/2020,"3,056,637"
OH,55_64,4/9/2020,"2,340,487"
OH,35_44,7/4/2020,"5,140,686"
WI,18_24,3/7/2020,"1,263,315"
WI,55_64,6/12/2020,"1,522,757"
WI,45_54,8/7/2020,"2,405,893"
MN,35_44,5/11/2020,"2,049,585"
KS,45_54,4/3/2020,"919,940"
IA,55_64,4/29/2020,"600,654"
KS,35_44,5/22/2020,"1,526,926"
KS,65_plus,5/9/2020,"293,019"
SD,65_plus,4/15/2020,"76,681"
SD,55_64,4/2/2020,"116,564"
HI,45_54,2/5/2020,"1,012,927"
MS,65_plus,3/4/2020,"413,241"
MS,45_54,7/4/2020,"1,224,562"
MS,65_plus,2/10/2020,"400,117"
MA,35_44,4/3/2020,"2,396,053"
MA,18_24,7/1/2020,"1,275,525"
MA,18_24,6/25/2020,"1,299,244"
LA,55_64,2/4/2020,"1,324,707"
LA,65_plus,4/21/2020,"476,481"
MI,65_plus,6/4/2020,"1,464,977"
MI,65_plus,7/24/2020,"1,672,283"
NH,55_64,5/20/2020,"425,214"
NH,55_64,6/27/2020,"480,406"
SC,45_54,3/23/2020,"1,683,091"
SC,35_44,5/15/2020,"2,710,804"
OH,55_64,8/21/2020,"3,339,327"
AZ,45_54,2/3/2020,"2,624,364"
NJ,55_64,5/5/2020,"2,326,006"
NJ,65_plus,3/31/2020,"871,646"
ID,55_64,6/7/2020,"309,671"
DC,25_34,3/14/2020,"546,432"
DC,35_44,3/14/2020,"400,480"
MN,55_64,4/1/2020,"938,419"
NV,55_64,4/17/2020,"582,538"
NC,35_44,8/5/2020,"4,571,243"
IN,35_44,3/2/2020,"3,068,269"
MS,25_34,4/2/2020,"923,514"
KY,45_54,4/5/2020,"1,434,144"
KY,55_64,6/15/2020,"1,195,070"
NC,25_34,6/16/2020,"3,342,549"
NY,65_plus,7/29/2020,"3,004,849"
